NoCurso	Curso	Docente	Clave Oficial	Matricula	Alumno	Calificacion	Edo Eval	Edo Al	Tipo Eval	Fecha Registro	Tipo Entrega	Registró Acta	Grupo	Turno	Modalidad	Periodo	Programa	Creditos	Nombre Ofical	Plan Estudio Periodo	Numero Periodo	Etapa Formativa	Tipo Asignatura	Orden	Estado Evaluacion	Periodo Actual	Estado Alumno	Campus	Bloque	Tipo Evaluacion	F.Carga Aca
15010	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-205180	MRIX201244	DANIELA SÁNCHEZ IBARRA	9.8	A	EG	EXT	09/06/2024	ORDINARIA	SANTOS LUNA GERARDO	97IIS174	Vespertino	SEMIPRESENCIAL	09/26/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	INVESTIGACIÓN I	CUATRIMESTRE 1	5	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 8	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/25/2025
15011	MATEMÁTICAS APLICADAS	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201891	MRIX234938	CARLOS VELÁSQUEZ DÍAZ	9.1	A	EG	EXT	10/03/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	14IIS860	Matutino	PRESENCIAL	08/01/2023	INGENIERÍA EN SISTEMAS	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 9	9	PROFESIONAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 3	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	06/25/2024
15012	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-201832	MRIX218873	ESTELA ORTIZ DÍAZ	8.1	A	AC	EXT	05/25/2025	ORDINARIA	SANTOS LUNA GERARDO	10IIS807	Matutino	PRESENCIAL	06/23/2025	INGENIERÍA EN SISTEMAS	6	MATEMÁTICAS APLICADAS	CUATRIMESTRE 3	5	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 9	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	01/20/2023
15013	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-205442	MRIX216567	ANDREA RAMÍREZ MARTÍNEZ	8.9	A	RE	ORD	02/20/2023	ORDINARIA	SANTOS LUNA GERARDO	53IIS921	Matutino	SEMIPRESENCIAL	04/24/2025	INGENIERÍA EN SISTEMAS	6	SIMULACIÓN	CUATRIMESTRE 4	3	BÁSICA	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 5	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	01/03/2024
15014	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-200452	MRIX208134	PEDRO ESPINOZA CRUZ	8.1	A	RE	ORD	03/29/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	15IIS998	Matutino	PRESENCIAL	11/09/2025	INGENIERÍA EN SISTEMAS	7	INVESTIGACIÓN I	CUATRIMESTRE 5	6	BÁSICA	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	11/09/2024
15015	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201146	MRIX215732	LUIS VALVERDE VARGAS	8.1	A	EG	EXT	01/15/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	86IIS438	Matutino	VIRTUAL	02/08/2024	INGENIERÍA MECÁNICA	5	SIMULACIÓN	CUATRIMESTRE 10	9	TERMINAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 6	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	06/02/2025
15016	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-203443	MRIX225937	SERGIO MEDINA ARREOLA	8.7	A	RE	ORD	09/14/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	56IIS904	Vespertino	SEMIPRESENCIAL	01/01/2023	INGENIERÍA MECÁNICA	7	INVESTIGACIÓN I	CUATRIMESTRE 10	7	BÁSICA	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 10	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	08/10/2024
15017	CREATIVIDAD E INNOVACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-207784	MRIX238345	EDUARDO ALFARO DÍAZ	7.0	A	EG	EXT	04/05/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	79IIS970	Matutino	VIRTUAL	02/20/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 2	4	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 8	REGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	05/16/2024
15018	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-207612	MRIX227140	ESTELA ECHEVERRÍA GUZMÁN	7.1	A	EG	EXT	07/23/2025	ORDINARIA	SANTOS LUNA GERARDO	86IIS643	Matutino	PRESENCIAL	09/06/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 9	9	PROFESIONAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 10	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/01/2023
15019	CREATIVIDAD E INNOVACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-202471	MRIX227966	MONICA ROJAS FLORES	8.1	A	AC	EXT	06/15/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	30IIS492	Vespertino	SEMIPRESENCIAL	10/16/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 3	5	PROFESIONAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 4	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	10/11/2023
15020	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-204471	MRIX193981	DAVID SALAZAR ÁVILA	7.7	A	RE	EXT	09/26/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	56IIS597	Matutino	SEMIPRESENCIAL	03/27/2024	INGENIERÍA EN SISTEMAS	10	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 1	9	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 7	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	03/25/2024
15021	CREATIVIDAD E INNOVACIÓN	SANTOS LUNA GERARDO	INIM-205529	MRIX231034	VALERIA RAMÍREZ OLIVÁREZ	8.8	A	AC	ORD	07/20/2025	ORDINARIA	SANTOS LUNA GERARDO	98IIS488	Matutino	PRESENCIAL	03/09/2024	INGENIERÍA MECÁNICA	7	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 5	7	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 7	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	10/31/2024
15022	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-204198	MRIX196326	MARÍA MATA VELÁSQUEZ	7.8	A	AC	ORD	03/22/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	99IIS477	Matutino	SEMIPRESENCIAL	08/23/2023	INGENIERÍA MECÁNICA	6	INVESTIGACIÓN I	CUATRIMESTRE 3	3	BÁSICA	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 10	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	08/10/2025
15023	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-208728	MRIX195704	MARTHA PÉREZ BERRÍOS	7.4	A	EG	ORD	03/26/2023	ORDINARIA	SANTOS LUNA GERARDO	55IIS777	Vespertino	VIRTUAL	09/05/2023	INGENIERÍA MECÁNICA	5	INVESTIGACIÓN I	CUATRIMESTRE 6	5	TERMINAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 2	REGULAR	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	12/12/2024
15024	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-204569	MRIX226527	MAURICIO SANTOS PÉREZ	9.7	A	RE	EXT	05/17/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	58IIS349	Matutino	VIRTUAL	10/22/2024	INGENIERÍA EN SISTEMAS	10	SIMULACIÓN	CUATRIMESTRE 8	10	BÁSICA	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 10	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	06/27/2023
15025	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-207800	MRIX208581	MARÍA SANTOS CASTILLO	8.3	A	EG	ORD	09/27/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	83IIS828	Vespertino	VIRTUAL	04/12/2025	INGENIERÍA EN SISTEMAS	5	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 8	4	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 8	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	05/07/2024
15026	ADMINISTRACIÓN INDUSTRIAL	CORAZA SEGARRA DANIEL ARMANDO	INIM-201958	MRIX236639	ISAAC MORALES MEDINA	5.2	NA	RE	EXT	01/30/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	96IIS648	Vespertino	VIRTUAL	09/05/2023	INGENIERÍA MECÁNICA	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 3	5	TERMINAL	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 4	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/08/2024
15027	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-201680	MRIX235229	MARIANO BERRÍOS ROQUE	8.6	A	EG	ORD	09/16/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	02IIS687	Vespertino	PRESENCIAL	08/21/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	7	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 5	1	PROFESIONAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 8	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	10/02/2025
15028	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-206232	MRIX191663	LUCÍA REYES ESPINOZA	7.4	A	EG	EXT	04/07/2024	ORDINARIA	SANTOS LUNA GERARDO	58IIS553	Matutino	SEMIPRESENCIAL	05/02/2025	INGENIERÍA EN SISTEMAS	5	SIMULACIÓN	CUATRIMESTRE 5	4	TERMINAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 10	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	12/06/2025
15029	MATEMÁTICAS APLICADAS	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-203792	MRIX204050	BEATRIZ MATA PÉREZ	5.6	NA	AC	ORD	08/19/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	37IIS823	Matutino	PRESENCIAL	08/20/2025	INGENIERÍA MECÁNICA	10	MATEMÁTICAS APLICADAS	CUATRIMESTRE 5	8	BÁSICA	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 8	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	03/08/2023
15030	ADMINISTRACIÓN INDUSTRIAL	RODRIGUEZ GARCIA MARTHA MARIA	INIM-207679	MRIX207558	GERMÁN BERRÍOS ARREOLA	8.1	A	AC	ORD	06/18/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	89IIS411	Matutino	SEMIPRESENCIAL	08/14/2024	INGENIERÍA MECÁNICA	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 7	10	BÁSICA	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 5	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	09/12/2023
15031	CREATIVIDAD E INNOVACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-209590	MRIX225873	ANA VALVERDE MARTÍNEZ	8.6	A	EG	ORD	07/23/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	56IIS750	Matutino	PRESENCIAL	06/24/2025	INGENIERÍA EN SISTEMAS	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 8	8	BÁSICA	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 2	EGRESADO	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	01/07/2024
15032	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-200018	MRIX205996	FERNANDO ARREOLA PÉREZ	7.6	A	RE	ORD	04/07/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	85IIS990	Vespertino	VIRTUAL	08/26/2023	INGENIERÍA MECÁNICA	7	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 9	5	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 8	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	11/19/2025
15033	ADMINISTRACIÓN INDUSTRIAL	RODRIGUEZ GARCIA MARTHA MARIA	INIM-203681	MRIX221438	BEATRIZ ROQUE SANTOS	8.8	A	EG	ORD	04/15/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	15IIS572	Matutino	VIRTUAL	01/29/2023	INGENIERÍA EN SISTEMAS	6	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 2	5	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 3	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/10/2023
15034	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-207316	MRIX208076	MAURICIO ESPINOZA ESPINOZA	8.0	A	RE	EXT	09/29/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	69IIS595	Vespertino	PRESENCIAL	09/03/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	7	SIMULACIÓN	CUATRIMESTRE 6	1	TERMINAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 6	REGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	11/01/2023
15035	MATEMÁTICAS APLICADAS	CORAZA SEGARRA DANIEL ARMANDO	INIM-207213	MRIX209961	VALERIA CASTILLO GÓMEZ	8.3	A	RE	ORD	11/10/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	13IIS638	Vespertino	PRESENCIAL	10/25/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	MATEMÁTICAS APLICADAS	CUATRIMESTRE 8	1	PROFESIONAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 1	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	07/25/2023
15036	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201480	MRIX237105	ARTURO REYES ORTIZ	5.8	NA	EG	EXT	08/11/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	56IIS200	Vespertino	SEMIPRESENCIAL	04/25/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 2	10	TERMINAL	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 8	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	04/10/2024
15037	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-209554	MRIX216466	PEDRO CASTILLO LÓPEZ	8.0	A	AC	ORD	05/08/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	19IIS337	Matutino	PRESENCIAL	02/22/2025	INGENIERÍA EN SISTEMAS	6	SIMULACIÓN	CUATRIMESTRE 8	2	TERMINAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 5	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/16/2025
15038	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-204837	MRIX201803	JOSÉ ALFARO VELÁSQUEZ	10.0	A	AC	EXT	01/05/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	03IIS949	Vespertino	SEMIPRESENCIAL	02/20/2025	INGENIERÍA EN SISTEMAS	10	INVESTIGACIÓN I	CUATRIMESTRE 7	2	PROFESIONAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 5	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	08/28/2024
15039	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-204835	MRIX236365	JOSÉ SEGARRA CRUZ	8.5	A	EG	ORD	09/27/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	42IIS865	Matutino	SEMIPRESENCIAL	01/17/2025	INGENIERÍA MECÁNICA	7	INVESTIGACIÓN I	CUATRIMESTRE 7	8	PROFESIONAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 3	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/04/2023
15040	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-207451	MRIX204803	CAROLINA CORAZA JIMÉNEZ	7.7	A	EG	EXT	06/25/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	48IIS788	Vespertino	PRESENCIAL	01/29/2023	INGENIERÍA EN SISTEMAS	7	MATEMÁTICAS APLICADAS	CUATRIMESTRE 5	2	PROFESIONAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 10	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	09/11/2023
15041	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201902	MRIX199791	NAYELI CRUZ ESPINOZA	9.2	A	EG	EXT	09/15/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	13IIS340	Matutino	SEMIPRESENCIAL	03/18/2023	INGENIERÍA MECÁNICA	5	SIMULACIÓN	CUATRIMESTRE 9	3	BÁSICA	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 3	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	10/05/2025
15042	SIMULACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-208920	MRIX207390	JULIA MATA JAIMES	7.5	A	RE	ORD	07/23/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	83IIS467	Vespertino	SEMIPRESENCIAL	01/12/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	SIMULACIÓN	CUATRIMESTRE 1	8	PROFESIONAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 7	REGULAR	CUATLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	01/22/2025
15043	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-202129	MRIX230942	ANA ARREOLA DÍAZ	8.7	A	AC	ORD	07/21/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	70IIS356	Matutino	PRESENCIAL	01/06/2023	INGENIERÍA EN SISTEMAS	6	INVESTIGACIÓN I	CUATRIMESTRE 3	6	TERMINAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 2	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/24/2023
15044	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-208254	MRIX235897	JUAN NÚÑEZ MORALES	7.0	A	EG	ORD	08/12/2023	ORDINARIA	SANTOS LUNA GERARDO	29IIS729	Vespertino	PRESENCIAL	11/17/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	INVESTIGACIÓN I	CUATRIMESTRE 1	8	BÁSICA	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 9	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/14/2025
15045	INVESTIGACIÓN I	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-209919	MRIX198625	ARTURO RAMOS VARGAS	7.4	A	RE	EXT	07/18/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	56IIS201	Matutino	PRESENCIAL	08/26/2024	INGENIERÍA EN SISTEMAS	10	INVESTIGACIÓN I	CUATRIMESTRE 2	10	PROFESIONAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 9	REGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	11/01/2025
